,ref
5287,"The first edition of Baugh's History was published in 1935; because so much has happened to English since then, it is fitting that its history be updated, not only to reflect more recent developments in dialect, lexicon, grammatical theory, and the universal adoption of the language as a lingua franca, but also to revise scholarship in the light of later research that either elaborates or confutes information that is now more than half a century old."
5288,"It is suggested that the next edition include a more comprehensive section on dictionaries, perhaps of lesser importance in earlier times but increasingly the chief source of information about language for most people, reflected in a recent report that more people own a dictionary than a Bible."
5289,The writer is in some doubt as to whether the listener has paid sufficient attention to the first line.
5290,"Concentrate, he appears to be saying, every word counts."
5291,And the way she looked was beyond compare implies that the girl's appearance was unique.
5292,"It is impossible to say what she is like, because she is like nothing else."
5293,Is there a chance that the girl reciprocates the boy's admiration?
5294,Is this looking the means by which the boy may be induced to request the girl's company on the dance floor?
5295,Is she perhaps as enamored of him as he is of her?
5296,And if they do meet--and we sense they will--can their relationship endure?
5297,"The answer is in verse two, which we shall be looking at tomorrow."
5298,Not long ago in an article on word-processing I came across the word doable .
5299,"Surely, I thought, the OED Supplement will have something on it."
5300,So to my magnifying-glass edition of the unsupplemented one.
5301,"It had doable , with the same definition and pronunciation given in those other dictionaries, with this additional definition, practicable."
5302,It also gives a second definition: Capable of being done or victimized.
5303,The earliest instance of its use given is A law ... which is doable--from 1449.
5304,All this sent me into intense research into the word do . The emphatic use of do has long been used in our language.
5305,"Samuel Johnson deplored the superfluous, emphatic use of do , as in I do love: he considered it vitious."
5306,"We all use the emphatic do , and that is not always undesirable: I do believe ... ; I do so want to see her; Do have a drink."
5307,"The Gage Canadian gives 15 distinct definitions for do, along with 10 common idiomatic phrases using it."
5308,And there is the simple interrogatory do: Do you see what I mean?
5309,"The incident reminds me that for some time I have intended to comment on the way numerals are said in the UK and in the US, though I am not entirely sure whether the subject is properly linguistic, cultural, or categorizable into some other area of behavior."
5310,"If there are three identical numerals in a row, as in 267444 , they would be read as, two, six, seven, four, double-four; four sevens in a row would be, double-seven, double-seven."
5311,"Occasionally, I have heard a string like 666666 expressed as, treble-six, treble-six, but double-six, double-six, double-six is probably more frequent, and six, double-six, six, double-six can be heard."
